Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ACAROSPORACEAE,"Acarospora sp.","A. Massal.","No change., Molecular: Yes.",51910
ACAROSPORACEAE,"Caeruleum sp.",Arcadia,"New or reinstated (Arcadia & Knudsen 2012)., Molecular: No., source: Arcadia & Knudsen 2012",127671
ACAROSPORACEAE,"Eiglera sp.",Hafellner,"Changed classification (Miądlikowska et al. 2014)., Molecular: Yes., source: Miądlikowska et al. 2014",51968
ACAROSPORACEAE,"Glypholecia sp.",Nyl.,"No change., Molecular: Yes.",51911
ACAROSPORACEAE,"Lithoglypha sp.",Brusse,"No change., Molecular: No.",258713
ACAROSPORACEAE,"Myriospora sp.","Nägeli ex Uloth","New or reinstated and new synonymy (Arcadia & Knudsen 2012; Gueidan et al. 2014c; Roux et al. 2016; Westberg et al. 2011, 2015)., Molecular: Yes., source: Arcadia & Knudsen 2012; Gueidan et al. 2014c; Roux et al. 2016; Westberg et al. 2011, 2015",124752
ACAROSPORACEAE,"Pleopsidium sp.",Körb.,"No change., Molecular: Yes.",51912
ACAROSPORACEAE,"Polysporina sp.",Vězda,"No change., Molecular: Yes.",51913
ACAROSPORACEAE,"Sarcogyne sp.",Flot.,"No change., Molecular: Yes.",51914
ACAROSPORACEAE,"Thelocarpella sp.","Nav.-Ros. & Cl. Roux","New synonymy (Gueidan et al. 2014c, Knudsen & Lendemer 2016; Roux et al. 2016)., Molecular: Yes., source: Gueidan et al. 2014c, Knudsen & Lendemer 2016; Roux et al. 2016",262282
ACAROSPORACEAE,"Timdalia sp.",Hafellner,"Changed classification (Westberg et al. 2015)., Molecular: Yes., source: Westberg et al. 2015",128262
ACAROSPORACEAE,"Trimmatothelopsis sp.",Zschacke,"Changed classification (Gueidan et al. 2014c, Knudsen & Lendemer 2016; Roux et al. 2016)., Molecular: Yes., source: Gueidan et al. 2014c, Knudsen & Lendemer 2016; Roux et al. 2016",126306
ANDREIOMYCETACEAE,"Andreiomyces sp.","B.P. Hodk. & Lendemer","New or reinstated (Hodkinson & Lendemer 2013)., Molecular: Yes., source: Hodkinson & Lendemer 2013",256930
ANTENNULARIELLACEAE,"Antennulariella sp.",Woron.,"New or reinstated (Coppins & Aptroot 2008)., Molecular: No., source: Coppins & Aptroot 2008",262226
APHANOPSIDACEAE,"Aphanopsis sp.","Nyl. ex Sydow","Changed classification (Printzen et al. 2012)., Molecular: Yes., source: Printzen et al. 2012",235152
APHANOPSIDACEAE,"Steinia sp.",Körb.,"New or reinstated (Printzen et al. 2012)., Molecular: Yes., source: Printzen et al. 2012",52006
ARCTOMIACEAE,"Arctomia sp.","Th. Fr.","Changed classification (Miądlikowska et al. 2014; Otálora et al. 2013b)., Molecular: Yes., source: Miądlikowska et al. 2014; Otálora et al. 2013b",51925
ARCTOMIACEAE,"Gregorella sp.",Lumbsch,"Changed classification (Miądlikowska et al. 2014)., Molecular: Yes., source: Miądlikowska et al. 2014",148324
ARCTOMIACEAE,"Wawea sp.","Henssen & Kantvilas","Changed classification (Miądlikowska et al. 2014)., Molecular: Yes., source: Miądlikowska et al. 2014",257986
ARTHONIACEAE,"Amazonomyces sp.","Bat. & Cavalc.","No change., Molecular: No.",129759
ARTHONIACEAE,"Arthonia sp.",Ach.,"New synonymy (Sundin et al. 2012)., Molecular: Yes., source: Sundin et al. 2012",51828
ARTHONIACEAE,"Arthothelium sp.","A. Massal.","No change., Molecular: Yes.",51831
ARTHONIACEAE,"Coniangium sp.",Fr.,"New or reinstated (Sundin et al. 2012)., Molecular: No., source: Sundin et al. 2012",143536
ARTHONIACEAE,"Coniarthonia sp.",Grube,"No change., Molecular: Yes.",124696
ARTHONIACEAE,"Coniocarpon sp.",DC.,"New or reinstated and new synonymy (Frisch et al. 2014a; Sundin et al. 2012)., Molecular: Yes., source: Frisch et al. 2014a; Sundin et al. 2012",143542
