"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"1","Quercus wislizenii","Quercus","","wislizenii",NA,NA,"","","kew-175769",TRUE,"1.1","Accepted","Fagaceae","Quercus","","wislizeni","","","A.DC.","kew-175769","Accepted",TRUE,FALSE,FALSE,2023-06-14
"2","Polygonum sieboldi","Polygonum","","sieboldi",NA,NA,"","","tro-26002406",TRUE,"1.1","Synonym","Polygonaceae","Persicaria","","sagittata","","","(L.) H.Gross","kew-2572298","Accepted",TRUE,FALSE,FALSE,2023-06-14
"3","Symphoricarpus racemosus","Symphoricarpus","","racemosus",NA,NA,"","","tro-50069831",TRUE,"1.1","Synonym","Caprifoliaceae","Symphoria","","racemosa","","","(Michx.) Pursh","tro-50089853","Accepted",TRUE,FALSE,FALSE,2023-06-14
"4","Laciniaria punctata","Laciniaria","","punctata",NA,NA,"","","gcc-127282",TRUE,"1.1","Synonym","Compositae","Liatris","","punctata","","","Hook.","gcc-119226","Accepted",TRUE,FALSE,FALSE,2023-06-14
"5","Lysichiton camtschaticus","Lysichiton","","camtschaticus",NA,NA,"","","kew-116110",TRUE,"1.1","Synonym","Araceae","Lysichiton","","camtschatcensis","","","(L.) Schott","kew-116109","Accepted",FALSE,FALSE,FALSE,2023-06-14
"6","Petalostemon villosum","Petalostemon","","villosum",NA,NA,"","","ild-55851",TRUE,"1.1","Synonym","Leguminosae","Dalea","","villosa","","","(Nutt.) Spreng.","ild-16490","Accepted",FALSE,FALSE,FALSE,2023-06-14
"7","Pentstemon albidus","Pentstemon","","albidus",NA,NA,"","","tro-29200155",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","albidus","","","Nutt.","tro-29200155","Accepted",TRUE,FALSE,FALSE,2023-06-14
"8","Pentstemon grandiflorus","Pentstemon","","grandiflorus",NA,NA,"","","kew-2553446",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","grandiflorus","","","Nutt.","kew-2553446","Accepted",TRUE,FALSE,FALSE,2023-06-14
"9","Solanum hartwegi","Solanum","","hartwegi",NA,NA,"","","tro-29603165",TRUE,"1.1","Accepted","Solanaceae","Solanum","","hartwegii","","","Benth.","tro-29603165","Accepted",TRUE,FALSE,FALSE,2023-06-14
"10","Robinia pseudacacia","Robinia","","pseudacacia",NA,NA,"","","ild-35522",TRUE,"1.1","Synonym","Leguminosae","Robinia","","pseudoacacia","","","L.","ild-8996","Accepted",FALSE,FALSE,FALSE,2023-06-14
