,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
3225,7808,7808,Abultilon texensis,6063539,ANSP,PH-Type-Fungi,d6c268cf-9632-4694-b1a9-4fb9d4bfe568,PreservedSpecimen,Uromyces pulcherrimus,Uromyces,554402,Species,,Ad fol. Abultilon texensis.,NA,Abutilon texense,NA,urn:uuid:d6c268cf-9632-4694-b1a9-4fb9d4bfe568,United States,Mycoportal.db,331,Abutilon fruticosum Guill. & Perr.,kew-2610628,The.plant.list,NA
2559,79968,79968,Acacia gregii,4344182,UC,,d361ea32-bb98-4f19-959e-82caa933000d,PreservedSpecimen,Ravenelia versatilis,Ravenelia,405736,Species,,NA,NA,host: Acacia gregii,NA,urn:uuid:d361ea32-bb98-4f19-959e-82caa933000d,USA,Mycoportal.db,271,Acacia greggii A.Gray,ild-10249,The.plant.list,NA
3160,12602,12602,Acalypha humboltiana,5650441,RMS,,7f70426c-18b5-42dd-829c-a190bc438438,PreservedSpecimen,Uromyces galphimiae,Uromyces,553916,Species,,NA,NA,host: Acalypha humboltiana,NA,urn:uuid:7f70426c-18b5-42dd-829c-a190bc438438,Mexico,Mycoportal.db,323,Acalypha humboltiana Baill.,kew-705,The.plant.list,NA
3026,92546,92546,Acer pseudo-platanus,4243862,RMS,,d63cd451-48ce-42fe-891a-7b070a9996b6,PreservedSpecimen,Uncinula bicornis,Uncinula,550624,Species,,Acer pseudo-platanus,NA,host: Acer pseudo-platanus,NA,urn:uuid:d63cd451-48ce-42fe-891a-7b070a9996b6,England,Mycoportal.db,307,Acer pseudoplatanus L.,kew-2616276,The.plant.list,NA
835,189391,189391,Aceri tatarici,340015,MICH,Fungi,e066e957-2bd0-4862-86c1-c522de67bf99,PreservedSpecimen,Dothiorella aceris,Dothiorella,177486,Species,Bot. Mater. Inst. Sporov. Rast. Glavn. Bot. Sada RSFSR 1926 4: 26.,On Aceri tatarici twigs,NA,NA,NA,urn:uuid:e066e957-2bd0-4862-86c1-c522de67bf99,Russian Federation,Mycoportal.db,102,Acer tataricum L.,kew-2616524,The.plant.list,NA
2270,90302,90302,Achillea millefolia,4276083,UC,,28cda514-a387-4789-90e2-79dc54b47cb9,PreservedSpecimen,Puccinia millefolii,Puccinia,399275,Species,,leaves and stems of host,NA,host: Achillea millefolia,NA,urn:uuid:28cda514-a387-4789-90e2-79dc54b47cb9,USA,Mycoportal.db,243,Achillea millefolium L.,gcc-140712,The.plant.list,NA
2271,85597,85597,Achillea millefolia,4309347,UC,,75c77b3d-22d9-4508-ae8a-fb4df27f3df6,PreservedSpecimen,Puccinia millefolii,Puccinia,399275,Species,,leaves of Achillea millefolia,NA,NA,NA,urn:uuid:75c77b3d-22d9-4508-ae8a-fb4df27f3df6,Sweden,Mycoportal.db,243,Achillea millefolium L.,gcc-140712,The.plant.list,NA
2034,195811,195811,Achyrocline satureioides vargasiana,3168952,MICH,Fungi,37fe800f-cf0f-4d93-8f21-beafd0b57241,PreservedSpecimen,Puccinia achyroclines,Puccinia,397033,Species,"Reliquiae Holwayanae, 1-700, E.W.D. Holway, exs #: 622",On Achyrocline satureioides vargasiana,NA,host: Achyrocline satureioides vargasiana,NA,urn:uuid:37fe800f-cf0f-4d93-8f21-beafd0b57241,Brazil,Mycoportal.db,200,Achyrocline satureioides (Lam.) DC.,gcc-13716,The.plant.list,NA
2035,195812,195812,Achyrocline satureioides vargasiana,3168951,MICH,Fungi,f3da1f64-04a0-44dd-ab7f-e1d6be3fe8bb,PreservedSpecimen,Puccinia achyroclines,Puccinia,397033,Species,,On Achyrocline satureioides vargasiana,NA,host: Achyrocline satureioides vargasiana,NA,urn:uuid:f3da1f64-04a0-44dd-ab7f-e1d6be3fe8bb,Brazil,Mycoportal.db,200,Achyrocline satureioides (Lam.) DC.,gcc-13716,The.plant.list,NA
1932,18953.1,18953,Agave desertii,5098148,UC,,1b0cb381-e40e-4351-81d7-e82f34f9fc22,PreservedSpecimen,Piptarthron pluriloculare,Piptarthron,377913,Species,,NA,NA,host: Agave desertii,NA,urn:uuid:1b0cb381-e40e-4351-81d7-e82f34f9fc22,USA,Mycoportal.db,192,Agave deserti Engelm.,kew-293754,The.plant.list,NA
