,spec.name,Old.name,scientificName,Fuzzy.dist,taxonRank,taxonomicStatus,manual name,manual.auth
648,Acer negundinis,,Acer,11,genus,Accepted,Acer negundo,L.
610,Loti americani,Lotea,Lotus,9,genus,Accepted,Acmispon americanus,Nutt. Rydb.
695,Acori calami,,Acorus,8,genus,Accepted,Acorus calamus,L.
510,Acteae spirata,,Actaea,8,genus,Accepted,Actaea spicata,L.
301,Agropynum repens,,NA,NA,NA,NA,Elymus repens,(L.) Gould
855,Agrophyrum smithii,,NA,NA,NA,NA,Elymus smithii,(Rydb.) Gould
163,Ailanthi glandulosi,,Ailanthus,10,genus,Accepted,Ailanthus altissima,(Mill.) Swingle
910,Ajugae reptantis,,Ajuga,11,genus,Accepted,Ajuga reptans,L.
744,Aletridis farinosae,,NA,NA,NA,NA,Aletris farinosa,L.
321,Alismatis plantaginis,,NA,NA,NA,NA,Alisma plantago-aquatica,L.
1091,Alneto incanae,,Alletotheca,7,genus,Unchecked,Alnus incana,(L.) Moench
1015,Alnus serratulae,,Alnus,11,genus,Accepted,Alnus serrulata,Willd.
904,Zygadeni glauci,,NA,NA,NA,NA,Anticlea elegans subsp. glauca,(Nutt.) A. Haines
429,Acrtostaphyli pumilae,,NA,NA,NA,NA,Arctostaphylos pumila,Nutt.
920,Artocarpi integrifoliae,,Artocarpus,15,genus,Accepted,Artocarpus integer,(Thunb.) Merr.
1067,Athyrii cyclosori,,Athyrium,11,genus,Accepted,Athyrium cyclosorum,(Rupr.) Maxon
1081,Bombacis malabarici,,NA,NA,NA,NA,Bombax ceiba,L.
364,Borraginis officinalis,,NA,NA,NA,NA,Borago officinalis,L.
626,Brabeii stellatifolii,,NA,NA,NA,NA,Brabejum stellatifolium,L.
376,Lithospermi arvensis,,Lithospermum,10,genus,Accepted,Buglossoides arvensis,(L.) I.M. Johnst.
212,Butomi umbellati,,Butomus,10,genus,Accepted,Butomus umbellatus,L.
930,Butus semperverum,,Buxus,13,genus,Accepted,Buxus sempervirens,L.
90,Buxi sempervirentis,,Buxus,15,genus,Accepted,Buxus sempervirens,L.
777,Convolobus sepium,,NA,NA,NA,NA,Calystegia sepium,(L.) R. Br.
778,Covolvuli sepium,,NA,NA,NA,NA,Calystegia sepium,(L.) R. Br.
734,Canabidis ruderalis,,NA,NA,NA,NA,Cannabis sativa,L.
1138,Cari carvi,,NA,NA,NA,NA,Carum carvi,L.
534,Celtidis aculeatae,,Celtidinae,9,subtribe,Unchecked,Celtis iguanaea,(Jacq.) Sarg.
632,Cerastii anomali,,Cerastium,8,genus,Accepted,Cerastium dubium,(Bastard) Guepin
326,Cerasi virginianae,,Cerasus,13,genus,Accepted,Cerasus virginiana,unchecked
440,Bliti capitati,,Blitum,10,genus,Unchecked,Chenopodium capitatum,(L.) Asch.
772,Cichorii intybi,,Cichorium,8,genus,Accepted,Cichorium intybus,L.
59,Cersii arvensis,,NA,NA,NA,NA,Cirsium arvense,(L.) Scop.
881,Cirsii arvensis,,Cirsium,10,genus,Accepted,Cirsium arvense,(L.) Scop.
537,Cladii marisci,,Cladium,8,genus,Accepted,Cladium mariscus,Pohl
1092,Colichici autumnalis,,NA,NA,NA,NA,Colchicum autumnale,L.
268,Coryli avellanae,,Corylus,11,genus,Accepted,Corylus avellana,L.
775,Crepidis foetidae,,Crepidium,10,genus,Accepted,Crepis foetida,L.
1088,Cuniliae marianae,,NA,NA,NA,NA,Cunila origanoides,(L.) Britton
984,Ivae xanthifoliae,,Iva,14,genus,Accepted,Cyclachaena xanthiifolia,(Nutt.) Fresen.
1090,Polypodii fragilis,,Polypodium,10,genus,Accepted,Cystopteris fragilis,(L.) Bernh.
291,Dauci carotae,,Daucus,9,genus,Accepted,Daucus carota,L.
566,Derridis ellipticae,,NA,NA,NA,NA,Derris elliptica,(Wall.) Benth.
615,Desmodi canescentis,,Desmodium,12,genus,Accepted,Desmodium canescens,(L.) canescens 
353,Eryngii campestris,,Eryngium,11,genus,Accepted,Eryngium campestre,L.
1183,Eythrenum americanum,,NA,NA,NA,NA,Erythronium americanum,Ker Gawl.
1085,Facelidis apiculatae,,NA,NA,NA,NA,Facelis retusa subsp. retusa,Beauverd
802,Fuirenae squamosae,,Fuirena,11,genus,Accepted,Fuirena squarrosa,Michx.
